number,priority,category,assignment_group,breach_probability,flagged,actual,risk_band
INC0031171,3 - Moderate,Category 42,Group 70,0.186,1,1,Low
INC0032074,3 - Moderate,Category 26,Group 70,0.186,1,0,Low
INC0031104,3 - Moderate,Category 42,Group 70,0.186,1,0,Low
INC0034191,3 - Moderate,Category 26,Group 70,0.186,1,0,Low
INC0032714,3 - Moderate,Category 37,Group 70,0.186,1,0,Low
INC0032276,3 - Moderate,Category 61,Group 24,0.186,1,0,Low
INC0028801,3 - Moderate,Category 42,Group 70,0.186,1,1,Low
INC0028629,3 - Moderate,Category 42,Group 70,0.186,1,0,Low
INC0028897,3 - Moderate,Category 34,Group 70,0.186,1,0,Low
INC0032910,3 - Moderate,Category 53,Group 70,0.186,1,0,Low
INC0029690,3 - Moderate,Category 53,Group 24,0.186,1,0,Low
INC0029217,3 - Moderate,Category 26,Group 70,0.186,1,0,Low
INC0032319,3 - Moderate,Category 42,Group 70,0.185,1,0,Low
INC0032666,3 - Moderate,Category 26,Group 70,0.185,1,1,Low
INC0033897,3 - Moderate,Category 26,Group 70,0.185,1,0,Low
INC0032087,3 - Moderate,Category 37,Group 46,0.184,1,1,Low
INC0033838,3 - Moderate,Category 26,Group 70,0.184,1,0,Low
INC0033771,3 - Moderate,Category 61,Group 73,0.184,1,0,Low
INC0031174,3 - Moderate,Category 32,Group 70,0.184,1,1,Low
INC0029795,3 - Moderate,Category 53,Group 70,0.184,1,0,Low
INC0033376,3 - Moderate,Category 53,Other,0.184,1,0,Low
INC0028923,3 - Moderate,Category 26,Group 70,0.184,1,0,Low
INC0032609,3 - Moderate,Category 46,Group 70,0.184,1,0,Low
INC0083078,3 - Moderate,Other,Group 70,0.184,1,0,Low
INC0033758,3 - Moderate,Category 61,Group 73,0.184,1,0,Low
INC0032929,3 - Moderate,Category 53,Group 70,0.184,1,0,Low
INC0030874,3 - Moderate,Category 42,Group 55,0.184,1,1,Low
INC0029947,3 - Moderate,Category 42,Group 70,0.184,1,0,Low
INC0029550,3 - Moderate,Category 37,Other,0.184,1,0,Low
INC0033520,3 - Moderate,Category 37,Other,0.183,1,1,Low
INC0033539,3 - Moderate,Category 53,Group 27,0.183,1,0,Low
INC0032259,3 - Moderate,Category 26,Group 70,0.183,1,0,Low
INC0031488,3 - Moderate,Category 9,Group 25,0.183,1,1,Low
INC0032064,3 - Moderate,Category 20,Group 70,0.183,1,1,Low
INC0032270,3 - Moderate,Category 34,Group 70,0.183,1,1,Low
INC0033029,3 - Moderate,Category 26,Group 70,0.183,1,0,Low
INC0032912,3 - Moderate,Category 26,Group 70,0.182,1,0,Low
INC0030767,3 - Moderate,Category 26,Group 70,0.182,1,0,Low
INC0033204,3 - Moderate,Category 26,Group 70,0.182,1,0,Low
INC0029998,3 - Moderate,Category 26,Group 70,0.182,1,0,Low
INC0030700,3 - Moderate,Category 26,Group 70,0.182,1,0,Low
INC0029329,3 - Moderate,Category 53,Group 70,0.182,1,0,Low
INC0032913,3 - Moderate,Category 26,Group 70,0.182,1,0,Low
INC0033733,3 - Moderate,Category 9,Group 70,0.182,1,1,Low
INC0028810,3 - Moderate,Category 26,Group 70,0.182,1,0,Low
INC0032986,3 - Moderate,Category 7,Group 69,0.181,1,0,Low
INC0029368,3 - Moderate,Category 35,Group 70,0.181,1,0,Low
INC0031729,3 - Moderate,Category 37,Other,0.181,1,1,Low
INC0030897,3 - Moderate,Category 35,Group 70,0.181,1,0,Low
INC0032296,3 - Moderate,Category 26,Group 70,0.181,1,0,Low
INC0031499,3 - Moderate,Category 20,Group 70,0.18,1,1,Low
INC0028320,3 - Moderate,Category 37,Group 46,0.18,1,0,Low
INC0029046,3 - Moderate,Category 46,Group 70,0.18,1,0,Low
INC0034297,3 - Moderate,Category 26,Group 70,0.18,1,1,Low
INC0032728,3 - Moderate,Category 42,Group 70,0.18,1,0,Low
INC0029196,3 - Moderate,Category 40,Group 70,0.18,1,0,Low
INC0028343,3 - Moderate,Category 26,Group 70,0.18,1,1,Low
INC0028493,3 - Moderate,Category 42,Group 55,0.179,1,1,Low
INC0033869,3 - Moderate,Category 26,Group 70,0.179,1,1,Low
INC0031808,3 - Moderate,Category 46,Group 70,0.179,1,0,Low
INC0029283,3 - Moderate,Category 37,Group 25,0.179,1,0,Low
INC0033347,3 - Moderate,Category 37,Other,0.179,1,0,Low
INC0033853,3 - Moderate,Category 53,Group 70,0.179,1,0,Low
INC0033938,3 - Moderate,Category 42,Group 70,0.179,1,1,Low
INC0033951,3 - Moderate,Category 42,Group 70,0.179,1,0,Low
INC0029206,3 - Moderate,Category 42,Group 70,0.179,1,0,Low
INC0034262,3 - Moderate,Category 26,Group 70,0.179,1,0,Low
INC0028489,3 - Moderate,Category 42,Group 55,0.179,1,0,Low
INC0033704,3 - Moderate,Category 32,Group 70,0.179,1,0,Low
INC0032899,3 - Moderate,Category 42,Group 70,0.179,1,0,Low
INC0032305,3 - Moderate,Category 40,Group 70,0.178,1,0,Low
INC0099106,3 - Moderate,Category 45,Group 70,0.178,1,1,Low
INC0030469,3 - Moderate,Category 37,Group 70,0.178,1,0,Low
INC0033789,3 - Moderate,Category 42,Group 70,0.178,1,0,Low
INC0028641,3 - Moderate,Category 42,Group 70,0.178,1,0,Low
INC0032839,3 - Moderate,Category 42,Group 70,0.178,1,0,Low
INC0034030,3 - Moderate,Category 42,Group 70,0.178,1,0,Low
INC0031161,3 - Moderate,Category 26,Group 70,0.178,1,0,Low
INC0031166,3 - Moderate,Category 26,Group 70,0.178,1,1,Low
INC0030759,3 - Moderate,Category 26,Group 70,0.178,1,0,Low
INC0032823,3 - Moderate,Category 32,Group 70,0.178,1,0,Low
INC0031108,3 - Moderate,Category 42,Group 70,0.178,1,0,Low
INC0031112,3 - Moderate,Category 42,Group 70,0.178,1,0,Low
INC0032147,3 - Moderate,Category 37,Group 25,0.178,1,0,Low
INC0032564,3 - Moderate,Category 26,Group 70,0.177,1,0,Low
INC0033918,3 - Moderate,Category 42,Group 70,0.177,1,0,Low
INC0029693,3 - Moderate,Category 61,Group 73,0.177,1,1,Low
INC0029248,3 - Moderate,Category 37,Group 46,0.177,1,0,Low
INC0030404,3 - Moderate,Category 28,Group 70,0.176,1,0,Low
INC0032089,3 - Moderate,Category 53,Group 51,0.176,1,0,Low
INC0032963,3 - Moderate,Category 9,Group 70,0.176,1,1,Low
INC0033835,3 - Moderate,Category 26,Group 70,0.176,1,1,Low
INC0029253,3 - Moderate,Category 24,Group 23,0.176,1,0,Low
INC0032303,3 - Moderate,Category 42,Group 70,0.176,1,0,Low
INC0028899,3 - Moderate,Category 26,Group 70,0.176,1,0,Low
INC0033534,3 - Moderate,Category 61,Group 73,0.176,1,0,Low
INC0034200,3 - Moderate,Category 32,Group 70,0.176,1,0,Low
INC0030435,3 - Moderate,Category 42,Group 70,0.176,1,0,Low
INC0034010,3 - Moderate,Category 42,Group 70,0.175,1,1,Low
INC0028330,3 - Moderate,Category 26,Group 70,0.175,1,0,Low
INC0028688,3 - Moderate,Category 20,Group 70,0.175,1,0,Low
INC0032578,3 - Moderate,Category 42,Group 70,0.175,1,0,Low
INC0029243,3 - Moderate,Category 26,Group 70,0.175,1,0,Low
INC0029718,3 - Moderate,Category 26,Group 70,0.175,1,0,Low
INC0033498,3 - Moderate,Category 23,Group 20,0.174,1,0,Low
INC0033794,3 - Moderate,Category 26,Group 70,0.174,1,0,Low
INC0034228,3 - Moderate,Category 26,Group 70,0.174,1,0,Low
INC0032356,3 - Moderate,Category 26,Group 70,0.174,1,1,Low
INC0029953,3 - Moderate,Category 53,Group 70,0.174,1,0,Low
INC0028815,3 - Moderate,Category 26,Group 70,0.174,1,0,Low
INC0034403,3 - Moderate,Category 42,Group 70,0.174,1,0,Low
INC0028636,3 - Moderate,Category 61,Group 70,0.174,1,0,Low
INC0033427,3 - Moderate,Category 26,Group 70,0.174,1,0,Low
INC0031118,3 - Moderate,Category 42,Group 70,0.174,1,0,Low
INC0030502,3 - Moderate,Category 37,Group 70,0.173,1,0,Low
INC0034149,3 - Moderate,Category 28,Group 70,0.173,1,0,Low
INC0033542,3 - Moderate,Category 37,Other,0.173,1,0,Low
INC0031465,3 - Moderate,Category 61,Group 73,0.173,1,0,Low
INC0032652,3 - Moderate,Category 26,Group 70,0.173,1,1,Low
INC0032465,3 - Moderate,Category 42,Group 70,0.173,1,1,Low
INC0033773,3 - Moderate,Category 42,Group 70,0.172,1,0,Low
INC0028472,3 - Moderate,Category 26,Group 70,0.172,1,0,Low
INC0028455,3 - Moderate,Category 53,Group 70,0.172,1,0,Low
INC0031110,3 - Moderate,Category 26,Group 70,0.172,1,0,Low
INC0033804,3 - Moderate,Category 42,Group 70,0.172,1,0,Low
INC0034275,3 - Moderate,Category 20,Group 70,0.172,1,0,Low
INC0028911,3 - Moderate,Category 20,Group 70,0.172,1,0,Low
INC0033948,3 - Moderate,Category 26,Group 70,0.172,1,1,Low
INC0031934,3 - Moderate,Category 37,Group 46,0.171,1,0,Low
INC0032278,3 - Moderate,Category 26,Group 70,0.171,1,0,Low
INC0030224,3 - Moderate,Category 37,Group 46,0.171,1,0,Low
INC0031395,3 - Moderate,Category 32,Group 70,0.171,1,0,Low
INC0033442,3 - Moderate,Category 20,Group 70,0.171,1,0,Low
INC0029252,3 - Moderate,Category 26,Group 70,0.171,1,0,Low
INC0032249,3 - Moderate,Category 42,Group 70,0.171,1,0,Low
INC0033047,4 - Low,Category 26,Group 70,0.171,1,0,Low
INC0029355,3 - Moderate,Category 26,Group 70,0.171,1,1,Low
INC0032691,3 - Moderate,Category 46,Group 70,0.171,1,0,Low
INC0029646,3 - Moderate,Category 37,Group 46,0.171,1,0,Low
INC0029304,3 - Moderate,Category 42,Group 70,0.171,1,1,Low
INC0030342,3 - Moderate,Category 26,Group 70,0.171,1,0,Low
INC0029840,3 - Moderate,Category 37,Group 25,0.17,1,0,Low
INC0029485,3 - Moderate,Category 57,Group 65,0.17,1,0,Low
INC0031404,3 - Moderate,Category 37,Group 46,0.17,1,0,Low
INC0029895,3 - Moderate,Category 42,Group 70,0.17,1,1,Low
INC0030615,3 - Moderate,Category 32,Group 70,0.17,1,0,Low
INC0034393,3 - Moderate,Category 26,Group 70,0.17,1,0,Low
INC0033839,3 - Moderate,Category 26,Group 70,0.17,1,0,Low
INC0030451,3 - Moderate,Category 26,Group 70,0.17,1,0,Low
INC0030918,3 - Moderate,Category 42,Group 70,0.17,1,0,Low
INC0032811,3 - Moderate,Category 42,Group 70,0.17,1,0,Low
INC0029275,3 - Moderate,Category 42,Group 70,0.169,1,0,Low
INC0033582,3 - Moderate,Category 23,Group 20,0.169,1,0,Low
INC0031398,3 - Moderate,Category 9,Group 70,0.169,1,1,Low
INC0028667,3 - Moderate,Category 42,Group 70,0.169,1,0,Low
INC0033545,3 - Moderate,Category 43,Other,0.169,1,0,Low
INC0029288,3 - Moderate,Category 26,Group 70,0.169,1,0,Low
INC0032382,3 - Moderate,Category 42,Group 70,0.168,1,0,Low
INC0030881,3 - Moderate,Category 53,Group 70,0.168,1,0,Low
INC0034130,3 - Moderate,Category 37,Other,0.168,1,0,Low
INC0028900,3 - Moderate,Category 46,Group 70,0.168,1,0,Low
INC0029242,3 - Moderate,Category 26,Group 70,0.168,1,0,Low
INC0029235,3 - Moderate,Category 35,Group 70,0.168,1,0,Low
INC0030231,3 - Moderate,Category 42,Group 70,0.168,1,0,Low
INC0034233,3 - Moderate,Category 46,Group 70,0.168,1,0,Low
INC0032159,3 - Moderate,Category 37,Other,0.168,1,0,Low
INC0032203,3 - Moderate,Category 53,Group 70,0.168,1,0,Low
INC0030122,3 - Moderate,Category 26,Group 70,0.168,1,0,Low
INC0033333,3 - Moderate,Category 42,Group 70,0.168,1,0,Low
INC0033595,3 - Moderate,Category 37,Other,0.168,1,0,Low
INC0032385,3 - Moderate,Category 42,Group 70,0.168,1,0,Low
INC0032384,3 - Moderate,Category 42,Group 70,0.168,1,0,Low
INC0032383,3 - Moderate,Category 42,Group 70,0.168,1,0,Low
INC0034406,3 - Moderate,Category 42,Group 70,0.167,1,0,Low
INC0033342,3 - Moderate,Category 26,Group 70,0.167,1,0,Low
INC0033727,3 - Moderate,Category 37,Group 70,0.167,1,0,Low
INC0032888,3 - Moderate,Category 26,Group 70,0.167,1,0,Low
INC0031933,3 - Moderate,Category 40,Group 70,0.167,1,0,Low
INC0034160,3 - Moderate,Category 26,Group 70,0.167,1,1,Low
INC0033719,3 - Moderate,Category 37,Group 70,0.167,1,0,Low
INC0034356,3 - Moderate,Category 37,Group 70,0.167,1,0,Low
INC0031247,3 - Moderate,Category 42,Group 70,0.167,1,0,Low
INC0030093,3 - Moderate,Category 57,Group 24,0.167,1,1,Low
INC0032070,3 - Moderate,Category 28,Group 24,0.167,1,0,Low
INC0033621,3 - Moderate,Category 57,Group 65,0.166,1,1,Low
INC0030253,3 - Moderate,Category 42,Group 70,0.166,1,0,Low
INC0028313,3 - Moderate,Category 61,Group 70,0.166,1,0,Low
INC0030242,3 - Moderate,Category 42,Group 70,0.166,1,0,Low
INC0029356,3 - Moderate,Category 26,Group 70,0.166,1,0,Low
INC0029794,3 - Moderate,Category 23,Group 20,0.166,1,0,Low
INC0031122,3 - Moderate,Category 20,Group 70,0.166,1,0,Low
INC0033820,3 - Moderate,Category 26,Group 70,0.166,1,0,Low
INC0031908,3 - Moderate,Category 42,Group 70,0.166,1,0,Low
INC0030067,3 - Moderate,Category 42,Group 70,0.166,1,0,Low
INC0031059,3 - Moderate,Category 26,Group 70,0.166,1,0,Low
INC0034264,3 - Moderate,Category 26,Group 70,0.166,1,0,Low
INC0032845,3 - Moderate,Category 53,Group 70,0.166,1,0,Low
INC0029588,3 - Moderate,Category 9,Group 27,0.166,1,0,Low
INC0029931,3 - Moderate,Category 20,Group 70,0.166,1,0,Low
INC0032894,3 - Moderate,Category 26,Group 70,0.166,1,0,Low
INC0031676,3 - Moderate,Category 28,Group 70,0.165,1,0,Low
INC0029754,3 - Moderate,Category 26,Group 70,0.165,1,0,Low
INC0029773,3 - Moderate,Category 37,Other,0.165,1,0,Low
INC0029337,3 - Moderate,Category 37,Other,0.165,1,0,Low
INC0034148,3 - Moderate,Category 57,Group 70,0.165,1,0,Low
INC0033603,3 - Moderate,Category 43,Group 39,0.165,1,0,Low
INC0032776,3 - Moderate,Category 42,Group 70,0.165,1,0,Low
INC0030729,3 - Moderate,Category 42,Group 70,0.165,1,0,Low
INC0030217,3 - Moderate,Category 9,Group 30,0.164,1,0,Low
INC0032985,3 - Moderate,Category 20,Group 70,0.164,1,1,Low
INC0032886,3 - Moderate,Category 57,Group 70,0.164,1,0,Low
INC0033837,3 - Moderate,Category 37,Group 70,0.164,1,0,Low
INC0030344,3 - Moderate,Category 20,Group 70,0.164,1,0,Low
INC0032895,3 - Moderate,Category 20,Group 70,0.164,1,0,Low
INC0030214,3 - Moderate,Category 9,Group 30,0.164,1,0,Low
INC0032252,3 - Moderate,Category 9,Group 27,0.164,1,0,Low
INC0029804,3 - Moderate,Category 42,Group 70,0.164,1,0,Low
INC0029548,3 - Moderate,Category 46,Group 39,0.164,1,0,Low
INC0031155,3 - Moderate,Category 24,Group 70,0.164,1,0,Low
INC0032796,3 - Moderate,Category 53,Group 70,0.164,1,0,Low
INC0031319,3 - Moderate,Category 26,Group 70,0.164,1,0,Low
INC0029800,3 - Moderate,Category 42,Group 70,0.164,1,0,Low
INC0031223,3 - Moderate,Category 53,Group 70,0.163,1,1,Low
INC0029292,3 - Moderate,Category 26,Group 70,0.163,1,0,Low
INC0029772,3 - Moderate,Category 61,Group 73,0.163,1,1,Low
INC0030770,3 - Moderate,Category 46,Group 70,0.163,1,0,Low
INC0031181,3 - Moderate,Category 53,Group 70,0.163,1,0,Low
INC0031192,3 - Moderate,Category 42,Group 70,0.163,1,0,Low
INC0030653,3 - Moderate,Category 37,Other,0.163,1,0,Low
INC0033007,3 - Moderate,Category 34,Group 23,0.163,1,0,Low
INC0028721,3 - Moderate,Category 53,Group 70,0.163,1,0,Low
INC0033954,3 - Moderate,Category 26,Group 70,0.163,1,1,Low
INC0028974,3 - Moderate,Category 20,Group 70,0.162,1,0,Low
INC0032121,3 - Moderate,Category 26,Group 70,0.162,1,0,Low
INC0034178,3 - Moderate,Category 13,Group 70,0.162,1,1,Low
INC0029438,3 - Moderate,Category 23,Group 20,0.162,1,0,Low
INC0031806,3 - Moderate,Category 46,Group 70,0.162,1,0,Low
INC0028365,3 - Moderate,Category 53,Group 70,0.162,1,0,Low
INC0083217,3 - Moderate,Other,Group 70,0.162,1,0,Low
INC0028666,3 - Moderate,Category 53,Group 70,0.162,1,0,Low
INC0044260,3 - Moderate,Other,Group 70,0.162,1,0,Low
INC0030835,3 - Moderate,Category 53,Group 70,0.162,1,0,Low
INC0032715,3 - Moderate,Category 26,Group 70,0.162,1,0,Low
INC0030462,3 - Moderate,Category 46,Group 70,0.162,1,0,Low
INC0033567,3 - Moderate,Category 9,Group 27,0.162,1,0,Low
INC0033575,3 - Moderate,Category 9,Group 27,0.162,1,0,Low
INC0033521,3 - Moderate,Category 20,Group 70,0.161,1,0,Low
INC0030932,3 - Moderate,Category 53,Group 70,0.161,1,0,Low
INC0108374,3 - Moderate,Other,Group 70,0.161,1,0,Low
INC0033738,3 - Moderate,Category 61,Group 73,0.161,1,0,Low
INC0081177,3 - Moderate,Other,Group 70,0.161,1,0,Low
INC0031151,3 - Moderate,Category 24,Group 70,0.161,1,0,Low
INC0032832,3 - Moderate,Category 42,Group 70,0.161,1,0,Low
INC0029153,3 - Moderate,Category 37,Other,0.161,1,0,Low
INC0032838,3 - Moderate,Category 42,Group 70,0.161,1,0,Low
INC0031600,3 - Moderate,Category 26,Group 70,0.161,1,0,Low
INC0033291,3 - Moderate,Category 42,Group 70,0.16,1,0,Low
INC0033672,3 - Moderate,Category 28,Group 70,0.16,1,0,Low
INC0034132,3 - Moderate,Category 42,Group 55,0.16,1,0,Low
INC0034255,3 - Moderate,Category 32,Group 70,0.16,1,0,Low
INC0033683,3 - Moderate,Category 28,Group 70,0.16,1,0,Low
INC0030486,3 - Moderate,Category 20,Group 70,0.16,1,0,Low
INC0031134,3 - Moderate,Category 46,Group 70,0.16,1,1,Low
INC0030054,3 - Moderate,Category 42,Group 70,0.159,1,0,Low
INC0030742,3 - Moderate,Category 20,Group 70,0.159,1,0,Low
INC0031759,3 - Moderate,Category 24,Group 24,0.159,1,0,Low
INC0029277,3 - Moderate,Category 42,Group 70,0.159,1,0,Low
INC0031720,3 - Moderate,Category 26,Group 70,0.159,1,0,Low
INC0032829,3 - Moderate,Category 42,Group 55,0.159,1,0,Low
INC0032833,3 - Moderate,Category 42,Group 55,0.159,1,1,Low
INC0030479,3 - Moderate,Category 9,Group 30,0.159,1,0,Low
INC0032364,3 - Moderate,Category 19,Group 54,0.159,1,1,Low
INC0033338,3 - Moderate,Category 42,Group 70,0.159,1,0,Low
INC0032487,3 - Moderate,Category 53,Group 70,0.158,1,0,Low
INC0030608,3 - Moderate,Category 26,Group 70,0.158,1,0,Low
INC0033124,3 - Moderate,Category 26,Group 70,0.158,1,0,Low
INC0033091,3 - Moderate,Category 53,Group 70,0.158,1,0,Low
INC0028635,3 - Moderate,Category 13,Group 70,0.158,1,1,Low
INC0077924,3 - Moderate,Other,Group 70,0.158,1,0,Low
INC0033020,3 - Moderate,Category 20,Group 70,0.158,1,1,Low
INC0033440,3 - Moderate,Category 61,Group 73,0.158,1,0,Low
INC0029470,3 - Moderate,Category 19,Group 54,0.158,1,0,Low
INC0029226,3 - Moderate,Category 26,Group 70,0.158,1,0,Low
INC0032574,3 - Moderate,Category 32,Group 70,0.158,1,0,Low
INC0032560,3 - Moderate,Category 42,Group 70,0.158,1,0,Low
INC0029207,3 - Moderate,Category 32,Group 70,0.158,1,0,Low
INC0032450,3 - Moderate,Category 28,Group 70,0.157,1,1,Low
INC0032848,3 - Moderate,Category 26,Group 70,0.157,1,0,Low
INC0031859,3 - Moderate,Category 37,Group 46,0.157,1,0,Low
INC0028885,3 - Moderate,Category 26,Group 70,0.157,1,0,Low
INC0032675,3 - Moderate,Category 42,Group 55,0.157,1,0,Low
INC0029732,3 - Moderate,Category 40,Group 70,0.157,1,0,Low
INC0029073,3 - Moderate,Category 37,Other,0.157,1,0,Low
INC0031447,3 - Moderate,Category 17,Group 69,0.157,1,0,Low
INC0030509,3 - Moderate,Category 20,Group 70,0.156,1,1,Low
INC0030542,3 - Moderate,Category 42,Group 70,0.156,1,0,Low
INC0033883,3 - Moderate,Category 37,Group 46,0.156,1,0,Low
INC0029638,3 - Moderate,Category 53,Group 70,0.156,1,0,Low
INC0031798,3 - Moderate,Category 26,Group 70,0.156,1,0,Low
INC0030750,3 - Moderate,Category 26,Group 70,0.156,1,0,Low
INC0029591,3 - Moderate,Category 26,Group 70,0.156,1,0,Low
INC0029717,3 - Moderate,Category 42,Group 70,0.156,1,0,Low
INC0029330,3 - Moderate,Category 42,Group 70,0.156,1,0,Low
INC0032502,3 - Moderate,Category 42,Group 70,0.156,1,1,Low
INC0032641,3 - Moderate,Category 37,Group 70,0.155,1,0,Low
INC0032020,3 - Moderate,Category 20,Group 70,0.155,1,0,Low
INC0035024,3 - Moderate,Other,Group 70,0.155,1,0,Low
INC0034401,3 - Moderate,Category 20,Group 70,0.155,1,0,Low
INC0030279,3 - Moderate,Category 57,Group 24,0.155,1,0,Low
INC0030382,3 - Moderate,Category 51,Group 70,0.155,1,0,Low
INC0029249,3 - Moderate,Category 42,Group 70,0.155,1,0,Low
INC0030107,3 - Moderate,Category 53,Group 70,0.155,1,0,Low
INC0033929,3 - Moderate,Category 37,Group 70,0.155,1,0,Low
INC0032137,3 - Moderate,Category 26,Group 70,0.155,1,0,Low
INC0033687,3 - Moderate,Category 37,Group 70,0.155,1,0,Low
INC0032774,3 - Moderate,Category 42,Group 70,0.155,1,0,Low
INC0031745,3 - Moderate,Category 26,Group 70,0.154,1,0,Low
INC0031426,3 - Moderate,Category 20,Group 70,0.154,1,1,Low
INC0029055,3 - Moderate,Category 61,Group 73,0.154,1,0,Low
INC0034229,3 - Moderate,Category 37,Group 70,0.154,1,0,Low
INC0033662,3 - Moderate,Category 42,Group 70,0.154,1,0,Low
INC0030748,3 - Moderate,Category 42,Group 70,0.154,1,0,Low
INC0032753,3 - Moderate,Category 42,Group 70,0.154,1,0,Low
INC0029183,3 - Moderate,Category 40,Group 70,0.154,1,0,Low
INC0032805,3 - Moderate,Category 26,Group 70,0.154,1,0,Low
INC0030042,3 - Moderate,Category 26,Group 70,0.153,1,0,Low
INC0032105,3 - Moderate,Category 23,Group 20,0.153,1,1,Low
INC0028741,3 - Moderate,Category 53,Group 24,0.153,1,0,Low
INC0032024,3 - Moderate,Category 26,Group 70,0.153,1,0,Low
INC0032285,3 - Moderate,Category 53,Group 70,0.153,1,0,Low
INC0031203,3 - Moderate,Category 26,Group 70,0.153,1,0,Low
INC0031106,4 - Low,Category 53,Group 66,0.153,1,0,Low
INC0033222,3 - Moderate,Category 26,Group 70,0.152,1,0,Low
INC0029305,3 - Moderate,Category 53,Group 70,0.152,1,0,Low
INC0032120,3 - Moderate,Category 32,Group 70,0.152,1,0,Low
INC0028405,3 - Moderate,Category 53,Group 70,0.152,1,0,Low
INC0029686,3 - Moderate,Category 37,Group 70,0.152,1,0,Low
INC0030433,3 - Moderate,Category 9,Group 24,0.152,1,0,Low
INC0030505,3 - Moderate,Category 28,Group 70,0.152,1,0,Low
INC0030846,3 - Moderate,Category 26,Group 70,0.152,1,0,Low
INC0030686,3 - Moderate,Category 26,Group 70,0.151,1,0,Low
INC0029486,3 - Moderate,Category 57,Group 65,0.151,1,0,Low
INC0031542,3 - Moderate,Category 26,Group 70,0.151,1,0,Low
INC0029948,3 - Moderate,Category 26,Group 70,0.151,1,0,Low
INC0030227,3 - Moderate,Category 42,Group 70,0.151,1,0,Low
INC0032078,3 - Moderate,Category 37,Other,0.151,1,1,Low
INC0028764,3 - Moderate,Category 20,Group 70,0.151,1,0,Low
INC0029403,3 - Moderate,Category 42,Group 70,0.151,1,0,Low
INC0030126,3 - Moderate,Category 20,Group 70,0.151,1,0,Low
INC0034407,3 - Moderate,Category 26,Group 70,0.151,1,0,Low
INC0032204,3 - Moderate,Category 26,Group 70,0.151,1,0,Low
INC0030448,3 - Moderate,Category 24,Group 24,0.151,1,1,Low
INC0030391,3 - Moderate,Category 26,Group 70,0.15,1,1,Low
INC0030051,3 - Moderate,Category 20,Group 70,0.15,1,0,Low
INC0034362,3 - Moderate,Category 37,Group 70,0.15,1,0,Low
INC0032021,3 - Moderate,Category 46,Group 70,0.15,1,0,Low
INC0029881,3 - Moderate,Category 20,Group 70,0.15,1,0,Low
INC0031495,3 - Moderate,Category 26,Group 70,0.15,1,0,Low
INC0030239,3 - Moderate,Category 42,Group 70,0.15,1,0,Low
INC0031139,3 - Moderate,Category 26,Group 70,0.15,1,0,Low
INC0031678,3 - Moderate,Category 20,Group 70,0.15,1,0,Low
INC0029439,3 - Moderate,Category 26,Group 70,0.15,1,0,Low
INC0029658,3 - Moderate,Category 26,Group 70,0.149,1,0,Low
INC0031609,3 - Moderate,Category 20,Group 70,0.149,1,0,Low
INC0029722,3 - Moderate,Category 26,Group 70,0.149,1,0,Low
INC0029968,3 - Moderate,Category 26,Group 70,0.149,1,0,Low
INC0028604,3 - Moderate,Category 42,Other,0.149,1,0,Low
INC0030514,3 - Moderate,Category 46,Group 70,0.149,1,1,Low
INC0031632,3 - Moderate,Category 17,Group 70,0.149,1,0,Low
INC0030034,3 - Moderate,Category 53,Group 70,0.149,1,0,Low
INC0032037,3 - Moderate,Category 46,Group 39,0.149,1,0,Low
INC0032545,3 - Moderate,Category 53,Group 70,0.149,1,0,Low
INC0033053,3 - Moderate,Category 28,Group 70,0.149,1,1,Low
INC0032831,3 - Moderate,Category 34,Group 24,0.149,1,0,Low
INC0030445,3 - Moderate,Category 26,Group 70,0.148,1,0,Low
INC0028364,3 - Moderate,Category 26,Group 70,0.148,1,0,Low
INC0028415,3 - Moderate,Category 26,Group 70,0.148,1,1,Low
INC0031128,3 - Moderate,Category 32,Group 70,0.148,1,1,Low
INC0032510,3 - Moderate,Category 13,Group 70,0.148,1,0,Low
INC0033163,3 - Moderate,Category 40,Group 70,0.148,1,1,Low
INC0032036,3 - Moderate,Category 26,Group 70,0.148,1,0,Low
INC0033692,3 - Moderate,Category 20,Group 70,0.148,1,0,Low
INC0033388,3 - Moderate,Category 26,Group 70,0.148,1,1,Low
INC0033858,3 - Moderate,Category 20,Group 70,0.148,1,0,Low
INC0032202,3 - Moderate,Category 37,Group 70,0.148,1,0,Low
INC0034069,3 - Moderate,Category 26,Group 70,0.148,1,1,Low
INC0028854,3 - Moderate,Category 42,Group 55,0.148,1,0,Low
INC0031574,3 - Moderate,Category 42,Group 70,0.148,1,0,Low
INC0031662,3 - Moderate,Category 20,Group 70,0.148,1,0,Low
INC0028480,3 - Moderate,Category 57,Other,0.147,1,0,Low
INC0030971,3 - Moderate,Category 26,Group 70,0.147,1,0,Low
INC0028824,3 - Moderate,Category 53,Group 70,0.147,1,0,Low
INC0030967,3 - Moderate,Category 28,Group 70,0.147,1,1,Low
INC0031911,3 - Moderate,Category 26,Group 70,0.147,1,0,Low
INC0032676,3 - Moderate,Category 26,Group 70,0.147,1,0,Low
INC0031306,3 - Moderate,Category 53,Group 70,0.147,1,0,Low
INC0030364,3 - Moderate,Category 20,Group 70,0.147,1,0,Low
INC0030996,3 - Moderate,Category 24,Group 70,0.147,1,0,Low
INC0029410,3 - Moderate,Category 26,Group 70,0.147,1,0,Low
INC0033215,3 - Moderate,Category 37,Other,0.147,1,1,Low
